gene_id	length	gef_25_S15_NumReads	gef_25_S16_NumReads	gef_25_S27_NumReads	gef_25_S28_NumReads	gef_5_S29_NumReads	gef_5_S30_NumReads	gef_5_S31_NumReads	gef_5_S32_NumReads	lap_25_S1_NumReads	lap_25_S17_NumReads	lap_25_S18_NumReads	lap_25_S2_NumReads	lap_5_S19_NumReads	lap_5_S3_NumReads	lap_5_S4_NumReads	lap_5_S5_NumReads	pel_25_S11_NumReads	pel_25_S12_NumReads	pel_25_S23_NumReads	pel_25_S24_NumReads	pel_5_S13_NumReads	pel_5_S14_NumReads	pel_5_S25_NumReads	pel_5_S26_NumReads	var_25_S20_NumReads	var_25_S6_NumReads	var_25_S7_NumReads	var_25_S8_NumReads	var_5_S10_NumReads	var_5_S21_NumReads	var_5_S22_NumReads	var_5_S9_NumReads	gef_25_S15_TPM	gef_25_S16_TPM	gef_25_S27_TPM	gef_25_S28_TPM	gef_5_S29_TPM	gef_5_S30_TPM	gef_5_S31_TPM	gef_5_S32_TPM	lap_25_S1_TPM	lap_25_S17_TPM	lap_25_S18_TPM	lap_25_S2_TPM	lap_5_S19_TPM	lap_5_S3_TPM	lap_5_S4_TPM	lap_5_S5_TPM	pel_25_S11_TPM	pel_25_S12_TPM	pel_25_S23_TPM	pel_25_S24_TPM	pel_5_S13_TPM	pel_5_S14_TPM	pel_5_S25_TPM	pel_5_S26_TPM	var_25_S20_TPM	var_25_S6_TPM	var_25_S7_TPM	var_25_S8_TPM	var_5_S10_TPM	var_5_S21_TPM	var_5_S22_TPM	var_5_S9_TPM
MTB000001	74	27	15	29	22	34	17	9	14	3	1	0	2	5	11	8	2	27	30	5	13	40	21	27	11	7	25	38	12	29	8	4	11	31.3675868958873	19.6703970079061	35.9007548056069	25.68171737837	26.3089662570148	33.5867784376988	19.8715927071578	35.8695930245356	2.71606201733458	2.16628985391213	0	3.84454032474585	9.63228456825343	12.5532539106797	9.19434217280131	3.51661932569733	32.5925729948357	33.4282183409408	15.0389982273912	26.867200927997	35.9390347334363	41.9035435102927	26.1323563434352	37.5605561336287	22.2454002401773	25.9287766700419	31.5040884701703	21.0950190482397	42.6603527139906	29.9842665117289	23.3939280755362	18.911976252697
MTB000002	73	209	149	197	117	322	119	101	120	18	6	3	6	34	65	63	33	146	173	56	107	293	178	258	68	61	157	287	117	183	53	51	81	246.134499711716	198.06922137824	247.218329502191	138.451001906555	252.574555992001	238.328099051068	226.058270766054	311.665348393225	16.519610078035	13.1757903443423	8.81398365967674	11.6916157821038	66.3967889691113	75.1944599132868	73.3973000164378	58.8190711873484	178.655585305025	195.410069041426	170.744133299477	224.16701469745	266.859640784372	360.047928974282	253.129856574766	235.373248399028	196.508290967046	165.06330265893	241.198208698441	208.493921141163	272.889228366963	201.366940511987	302.358508757102	141.168599823993
MTB000003	83	163	97	102	98	234	77	81	108	21	10	2	13	42	51	67	27	86	104	37	63	162	58	193	48	53	96	201	83	97	37	20	87	168.833481989376	113.408923472089	112.579516939228	101.995517211358	161.43375609726	135.63250427924	159.451575216471	246.703775776324	16.9508448792688	19.3139095409034	5.16803861169801	22.2798059783464	72.1376878027268	51.8904493525796	68.6529344770315	42.3265386309835	92.5565080495914	103.31870214935	99.2211497508363	116.084236076295	129.770225416998	103.184170250244	166.542754706355	146.128253435541	150.166023652281	88.7701346814349	148.570644231234	130.085950797478	127.21894963898	123.639942333002	104.286185396969	133.35739662088
MTB000004	71	95	89	91	98	136	39	41	37	23	9	5	8	28	38	39	17	102	134	28	41	139	52	99	27	33	77	110	43	61	29	8	32	115.030848136718	121.642473891145	117.414124750343	119.234196176658	109.682450874315	80.3077403241083	94.3511929163016	98.8037683110446	21.7029932089364	20.3204090521899	15.103774815878	16.0279427623207	56.2199820434397	45.1981434018326	46.7163230822264	31.1542754346989	128.330068317694	155.621696276417	87.7769135976184	88.3153711977711	130.165109601453	108.145429528911	99.8673148523767	96.0896173559413	109.302348866223	83.2350250512104	95.0493996097798	78.7844490745289	93.5254162947808	113.285626644666	48.7648078194277	57.3413057188048
MTB000005	81	1	1	2	1	3	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	2	1	0	1	1	3	0	0	0	0	1.061363251164	1.19803241035807	2.26194623722002	1.06646862289527	2.12076634315805	0	0	0	0	1.97907961962343	0	0	1.75997298284137	0	0	1.60635697593582	0	0	0	0	0	1.82296426793748	1.76844478227179	3.11950746788836	0	0.947520727695357	0.757408234825406	4.81799817768437	0	0	0	0
MTB000006	73	326	157	194	132	328	125	145	179	41	9	8	11	38	115	107	55	172	140	62	67	218	172	310	83	46	145	346	157	232	37	51	137	383.922712468993	208.703810445528	243.45358336764	156.201130356113	257.280914178188	250.344641860366	324.539101594829	464.900811353227	37.6280007333019	19.7636855165134	23.5039564258046	21.434628933857	74.2081759066538	133.036352154277	124.658906377125	98.0317853122474	210.47096351003	158.135315987282	189.038147581564	140.366261539525	198.550859013628	347.911481930205	304.148277279758	287.293817898814	148.18658007351	152.446999270986	290.782509441326	279.773894180877	345.957928858664	140.576920734784	302.358508757102	238.766644146753
MTB000007	74	74	49	108	56	142	36	44	58	13	2	3	2	20	48	38	17	70	69	16	27	80	69	97	19	22	70	90	53	93	27	16	81	85.9704233442837	64.2566302258267	133.699362724329	65.3716442358509	109.878623779297	71.1249425739503	97.1500087905491	148.602599673076	11.7696020751165	4.33257970782427	8.69487577238381	3.84454032474585	38.5291382730137	54.7778352466023	43.6731253208062	29.8912642684273	84.4992633199443	76.8849021841638	48.1247943276518	55.801109619686	71.8780694668725	137.683071533819	93.8829098264153	64.8773242308132	69.9141150405572	72.6005746761172	74.614946376719	93.1696674630586	136.807338013832	101.196899477085	93.575712302145	139.260916042587
MTB000008	73	2205	1484	2011	1680	3867	1438	1121	1327	187	62	43	70	429	755	788	536	1476	2153	539	842	2439	1309	3642	926	626	1705	2414	1082	2030	610	585	1770	2596.77785581021	1972.71627198194	2523.63482552744	1988.01438635053	3033.24785099711	2879.96475996165	2509.02298543313	3446.49931098174	171.620393588475	136.149833558204	126.3337657887	136.402184124544	837.771249051433	873.412572838947	918.048768459572	955.364307770266	1806.13454733025	2431.89525229012	1643.41228300747	1764.00585397432	2221.40158318458	2647.76819678278	3573.25169629961	3205.22982378677	2016.62606795689	1792.56643970366	2028.7542710733	1928.12327072426	3027.13187751331	2317.61950400589	3468.22995339029	3084.79532948724
MTB000009	72	0	0	1	1	5	1	1	1	0	0	0	0	1	0	2	2	3	3	0	0	2	2	1	1	1	4	4	0	1	0	0	1	0	0	1.27234475843626	1.19977720075718	3.97643689342135	2.03057320620074	2.26928682149641	2.63328361489646	0	0	0	0	1.97996960569654	0	2.36243514162256	3.61430319585559	3.72199136052136	3.43567799615225	0	0	1.84686706269047	4.10166960285934	0.994750190027883	3.5094459013744	3.26618971780381	4.26384327462911	3.40833705671433	0	1.51190905212419	0	0	1.76702808421664
MTB000010	73	0	0	0	3	0	1	0	0	0	0	0	1	1	2	2	0	1	1	0	0	0	0	2	0	0	1	1	2	1	0	0	0	0	0	0	3.55002568991167	0	2.00275713488292	0	0	0	0	0	1.94860263035063	1.95284673438563	2.31367568963959	2.33007301639485	0	1.22366839250017	1.12953797133773	0	0	0	0	1.96224695019199	0	0	1.05135861566197	0.840411876998053	3.5639986519857	1.49119796921838	0	0	0
