gene_id	length	tb_0h_1_NumReads	tb_0h_2_NumReads	tb_0h_3_NumReads	tb_0h_4_NumReads	DMSO_d1_1_NumReads	DMSO_d1_2_NumReads	DMSO_d1_3_NumReads	DMSO_d1_4_NumReads	DMSO_d2_1_NumReads	DMSO_d2_2_NumReads	DMSO_d2_3_NumReads	DMSO_d2_4_NumReads	DMSO_d3_1_NumReads	DMSO_d3_2_NumReads	DMSO_d3_3_NumReads	DMSO_d3_4_NumReads	DMSO_d4_1_NumReads	DMSO_d4_2_NumReads	DMSO_d4_3_NumReads	DMSO_d4_4_NumReads	pel_d1_1_NumReads	pel_d1_2_NumReads	pel_d1_3_NumReads	pel_d1_4_NumReads	pel_d2_1_NumReads	pel_d2_2_NumReads	pel_d2_3_NumReads	pel_d2_4_NumReads	pel_d3_1_NumReads	pel_d3_2_NumReads	pel_d3_3_NumReads	pel_d3_4_NumReads	pel_d4_1_NumReads	pel_d4_2_NumReads	pel_d4_3_NumReads	pel_d4_4_NumReads	phago_4h_1_NumReads	phago_4h_2_NumReads	phago_4h_3_NumReads	phago_4h_4_NumReads	tb_0h_1_TPM	tb_0h_2_TPM	tb_0h_3_TPM	tb_0h_4_TPM	DMSO_d1_1_TPM	DMSO_d1_2_TPM	DMSO_d1_3_TPM	DMSO_d1_4_TPM	DMSO_d2_1_TPM	DMSO_d2_2_TPM	DMSO_d2_3_TPM	DMSO_d2_4_TPM	DMSO_d3_1_TPM	DMSO_d3_2_TPM	DMSO_d3_3_TPM	DMSO_d3_4_TPM	DMSO_d4_1_TPM	DMSO_d4_2_TPM	DMSO_d4_3_TPM	DMSO_d4_4_TPM	pel_d1_1_TPM	pel_d1_2_TPM	pel_d1_3_TPM	pel_d1_4_TPM	pel_d2_1_TPM	pel_d2_2_TPM	pel_d2_3_TPM	pel_d2_4_TPM	pel_d3_1_TPM	pel_d3_2_TPM	pel_d3_3_TPM	pel_d3_4_TPM	pel_d4_1_TPM	pel_d4_2_TPM	pel_d4_3_TPM	pel_d4_4_TPM	phago_4h_1_TPM	phago_4h_2_TPM	phago_4h_3_TPM	phago_4h_4_TPM
MTB000001	74	18	21	0	21	0	0	0	0	0	0	0	0	1	1	2	0	7	2	10	0	1	0	0	4	0	0	0	0	1	1	1	0	11	3	5	9	1	0	0	0	6.04679384314896	7.68526470360539	0	8.05777730287262	0	0	0	0	0	0	0	0	14.2510364454689	19.0861308290216	23.8386567409675	0	18.2349788237974	11.1823871606826	22.6477266080887	0	29.6058816590055	0	0	234.477604389933	0	0	0	0	7.83563584160006	9.53852455833672	7.91441122985954	0	14.250525939219	7.02233948091296	12.779700373071	13.827567148464	25.4236483144797	0	0	0
MTB000002	73	4	6	0	3	0	0	1	0	0	0	0	1	0	0	0	1	4	4	7	1	1	1	0	0	1	1	0	0	1	2	1	2	15	0	5	6	1	1	0	0	1.36213925233797	2.22586922922426	0	1.16687968769584	0	0	27.0246874353607	0	0	0	0	26.6004594137215	0	0	0	9.56498289287531	10.5627274595774	22.6711410928908	16.0705786068356	9.90245584497428	30.0114416817316	23.9294239313995	0	0	16.9973311611497	26.6319154006753	0	0	7.94297331888225	19.3383785566279	8.02282782204939	23.2118121342277	19.6987344863426	0	12.9547647617432	9.34465725101675	25.7719174694726	30.5578304546488	0	0
MTB000003	83	86	93	0	46	5	3	3	2	4	5	7	4	12	4	15	15	81	30	84	14	3	4	2	3	11	7	12	12	17	13	15	11	166	71	76	133	5	3	0	0	25.7575609222222	30.3442293116536	0	15.7364738605728	213.224137070849	133.953851338047	71.3061029920962	84.11967232816	184.864857468568	114.487506634151	86.3233488795351	93.582339142249	152.468920043089	68.0662015107278	159.403066159481	126.188629731307	188.124721290606	149.547587329611	169.612371802264	121.931444259804	79.186816003605	84.1854432285381	71.1847643749853	156.789241489654	164.444059306063	163.962756261989	283.827211795201	272.323400243421	118.761805888348	110.554947290601	105.84333090535	112.283645444487	191.734349000401	148.174183263922	173.18803589916	182.183287650847	113.334335859729	80.6284924044347	0	0
MTB000004	71	230	335	0	280	0	3	6	0	3	7	6	3	8	6	7	8	37	16	50	3	0	6	1	2	2	2	5	4	10	10	14	11	68	36	26	96	6	3	4	3	80.529288897023	127.778478874834	0	111.976623551657	0	156.59393888814	166.71567741814	0	162.082216583357	187.372510857582	86.4970377102786	82.0493043888028	118.825543319966	119.355522367403	86.9607337452194	78.6753522456223	100.457488972953	93.2390591425933	118.023364013983	30.5441947894277	0	147.620953266944	41.6079960783365	122.192554400388	34.9522584440544	54.7642204013887	138.249170064564	106.116630141803	81.6671904617471	99.4156080728052	115.483521607528	131.2611629844	91.8164488170935	87.828696606348	69.2623761064468	153.726192523768	158.987321853929	94.2558432333533	181.011153952033	154.858339881281
MTB000005	81	14	16	0	9	1	3	1	0	1	1	1	1	11	1	9	7	30	18	41	3	2	3	0	1	3	1	3	2	12	7	11	10	47	13	31	69	1	1	1	1	4.29662443175742	5.34941411467888	0	3.15489693339986	43.6977861157542	137.261353840221	24.3555825034732	0	47.3573554626269	23.4628717299618	12.63639851323	23.9732535456996	143.214119340885	17.4367121154025	98.0033666017552	60.3420525711023	71.3962133841805	91.9440722100573	84.8311142332607	26.7733065438193	54.0946973522569	64.6980721108209	0	53.553526928565	45.9557472134789	24.0016027685098	72.7088227746965	46.5079058028888	85.9017855227265	60.9994533483755	79.5349474210576	104.596437394977	55.6266321174003	27.8003727598282	72.386747298333	96.84987360776	23.2265429045864	27.5397731257946	39.666024477143	45.2466754385637
MTB000006	73	8	9	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2.72427850467594	3.33880384383639	0	2.33375937539168	0	0	0	0	0	0	0	0	0	0	0	0	5.28136372978869	0	2.29579694383365	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31324896575617	2.37284530405278	0	0	0	0	0	0
MTB000007	74	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0.365964985885971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29550235811082	2.34077982697099	0	1.53639634982933	0	0	0	0
MTB000008	73	2151	2392	0	1920	38	23	52	26	27	57	98	56	121	69	109	181	686	283	756	157	67	43	34	25	97	43	57	52	224	107	169	114	958	441	495	1023	55	32	23	39	732.490382944744	887.379866050739	0	746.803000125337	1842.49021457933	1167.66165390106	1405.28374663875	1243.35789646691	1418.77447118856	1483.94628461964	1374.07851230164	1489.6257271684	1747.9969908593	1334.98334264362	1317.00414570304	1731.26190361043	1811.50775931752	1603.98323232203	1735.62248953824	1554.68556766096	2010.76659267601	1028.96522905018	1375.9137333302	1485.56016479923	1648.74112263153	1145.17236222904	1532.86134589394	1341.72122768334	1779.22602342962	1034.60325277959	1355.85790192635	1323.07329165098	1258.09250919441	1046.42477908728	1282.52171141258	1593.26406129836	1417.45546082099	977.850574548761	1012.29867946462	1958.00339329346
MTB000009	72	21	22	0	27	1	0	0	1	0	2	0	0	2	1	0	1	3	1	3	2	3	0	1	1	1	0	0	0	1	2	1	1	15	10	3	14	2	0	0	0	7.25055372859066	8.2748749586439	0	10.6477771502245	49.1600093802234	0	0	48.4856444669255	0	52.7914613924141	0	0	29.2937971379083	19.6163011298278	0	9.69782987749858	8.0320740057203	5.74650451312858	6.98304903749402	20.0799799078645	91.2848017819335	0	41.0301072439151	60.2477177946356	17.2334052050546	0	0	0	8.05329239275561	19.6069671476921	8.13425598624452	11.7670992069349	19.9723280208751	24.0580148883129	7.88081523006045	22.1070363669887	52.2597215353194	0	0	0
MTB000010	73	8	7	0	20	0	0	0	1	0	0	0	0	1	0	0	4	3	1	5	2	0	0	0	0	0	0	0	0	0	0	1	0	10	4	1	13	1	1	1	0	2.72427850467594	2.59684743409497	0	7.77919791797226	0	0	0	47.8214575564197	0	0	0	0	14.4462561228041	0	0	38.2599315715012	7.92204559468304	5.66778527322271	11.4789847191683	19.8049116899486	0	0	0	0	0	0	0	0	0	0	8.02282782204939	0	13.1324896575617	9.49138121621112	2.59095295234864	20.2467573772029	25.7719174694726	30.5578304546488	44.0129860636792	0
MTB000011	74	25	28	0	46	0	0	0	0	0	1	1	0	3	2	2	1	11	2	10	0	4	1	1	0	1	0	0	0	3	3	5	3	10	11	12	22	0	0	1	1	8.39832478215134	10.2470196048072	0	17.6503693301019	0	0	0	0	0	25.6823325692825	13.8317335077247	0	42.7531093364067	38.1722616580433	23.8386567409675	9.43572636729592	28.6549667231103	11.1823871606826	22.6477266080887	0	118.423526636022	23.606053337732	39.921185426512	0	16.7676374968099	0	0	0	23.5069075248002	28.6155736750102	39.5720561492977	34.347208495918	12.9550235811082	25.7485780966808	30.6712808953704	33.8007196962453	0	0	43.4182159817376	49.5267663584278
MTB000012	74	10	8	0	5	1	0	1	0	0	1	0	1	1	0	1	1	4	0	0	0	0	0	0	0	0	1	0	0	1	1	2	0	4	4	1	5	0	2	0	0	3.35932991286054	2.92771988708777	0	1.91851840544586	47.8313604780552	0	26.6594889565044	0	0	25.6823325692825	0	26.2409937459685	14.2510364454689	0	11.9193283704837	9.43572636729592	10.4199878993128	0	0	0	0	0	0	0	0	26.2720246520175	0	0	7.83563584160006	9.53852455833672	15.8288224597191	0	5.18200943244327	9.36311930788394	2.5559400746142	7.68198174914665	0	60.2897735997124	0	0
MTB000013	74	59	61	0	60	5	0	3	2	2	3	4	4	9	8	10	8	39	19	50	8	2	5	1	1	5	2	5	3	16	6	15	8	104	51	49	89	6	10	2	1	19.8200464858772	22.3238641390442	0	23.0222208653503	239.156802390276	0	79.9784668695133	94.3504432869902	103.674210607372	77.0469977078476	55.3269340308989	104.963974983874	128.25932800922	152.689046632173	119.193283704837	75.4858109383673	101.5948820183	106.232678026485	113.238633040444	78.14911099277	59.2117633180109	118.03026668866	39.921185426512	58.6194010974833	83.8381874840494	52.5440493040351	132.644473980865	76.360953446635	125.370173465601	57.2311473500203	118.716168447893	91.5925559891146	134.732245243525	119.37977117552	125.241063656096	136.73927513481	152.541889886878	301.448867998562	86.8364319634751	49.5267663584278
MTB000014	73	445	443	0	536	2	3	7	2	4	2	10	6	26	10	24	20	75	27	94	26	10	9	4	0	7	5	4	8	18	18	19	8	177	70	42	168	7	8	5	3	151.537991822599	164.343344757725	0	208.482504201657	96.9731691883859	152.303693987095	189.172812047525	95.6429151128394	210.188810546454	52.0682906884084	140.212093092004	159.602756482329	375.602659192906	193.475846759945	289.982564191495	191.299657857506	198.051139867076	153.030202377013	215.804912720363	257.463851969331	300.114416817316	215.364815382596	161.872203921199	0	118.981318128048	133.159577003377	107.569217255715	206.418650412822	142.97351973988	174.045407009651	152.433728618938	92.8472485369107	232.445066938842	166.099171283695	108.820023998643	261.650403028469	180.403422286308	244.46264363719	220.064930318396	150.615645637959
MTB000015	73	68	59	0	55	1	1	1	1	1	2	6	3	6	2	9	11	49	15	37	13	0	4	2	2	3	5	2	2	5	7	9	6	84	59	24	69	2	3	1	2	23.1563672897455	21.8877140873719	0	21.3927942744237	48.486584594193	50.7678979956982	27.0246874353607	47.8214575564197	52.5472026366134	52.0682906884084	84.1272558552025	79.8013782411644	86.6775367368246	38.6951693519891	108.743461571811	105.214811821628	129.393411379823	85.0167790983406	84.9444869218451	128.731925984666	0	95.717695725598	80.9361019605997	118.844813183939	50.9919934834492	133.159577003377	53.7846086278577	51.6046626032054	39.7148665944112	67.6843249481975	72.2054503984445	69.635436402683	110.312913123518	139.997872939114	62.1828708563674	107.463558386693	51.5438349389451	91.6734913639463	44.0129860636792	100.410430425306
