gene_id	length	DMSO_A_S1_NumReads	DMSO_B_S2_NumReads	DMSO_C_S3_NumReads	DMSO_D_S4_NumReads	gef_A_S5_NumReads	gef_B_S6_NumReads	gef_C_S7_NumReads	gef_D_S8_NumReads	pel_A_S9_NumReads	pel_B_S10_NumReads	pel_C_S11_NumReads	pel_D_S12_NumReads	pozi_A_S13_NumReads	pozi_B_S14_NumReads	pozi_C_S15_NumReads	pozi_D_S16_NumReads	DMSO_A_S1_TPM	DMSO_B_S2_TPM	DMSO_C_S3_TPM	DMSO_D_S4_TPM	gef_A_S5_TPM	gef_B_S6_TPM	gef_C_S7_TPM	gef_D_S8_TPM	pel_A_S9_TPM	pel_B_S10_TPM	pel_C_S11_TPM	pel_D_S12_TPM	pozi_A_S13_TPM	pozi_B_S14_TPM	pozi_C_S15_TPM	pozi_D_S16_TPM
MTB000001	74	17	29	45	29	0	45	30	10	47	36	43	39	45	42	64	28	22.4155432529901	34.1532410674088	73.430306280957	26.8871265943412	NA	30.478416355775	36.4044064339086	9.18215112694704	29.714886449188	35.1653442465695	33.1785864249268	39.3973667490266	45.5025347639821	52.299500345401	38.4104089936119	35.9810917977578
MTB000002	73	148	168	157	220	0	271	232	204	361	225	276	219	304	217	415	192	197.820330142424	200.563577208326	259.699634207659	206.765432666923	NA	186.062149649532	285.383949615225	189.881853989579	231.362132498866	222.794133069019	215.877492559001	224.261933802151	311.605790578552	273.91564792774	252.479379322308	250.107315196939
MTB000003	83	138	199	134	186	0	223	169	217	328	246	239	181	240	211	344	191	162.230707086843	208.949159932971	194.949107652468	153.749235747616	NA	134.659926828112	182.840765808217	177.646967224717	184.88585590738	214.240269968056	164.414816338262	163.017710916423	216.365466508252	234.25255260846	184.069158761556	218.828206312181
MTB000004	71	62	66	66	88	0	86	53	136	129	88	65	82	119	85	103	71	85.2050641629815	81.0123503512504	112.248393075491	85.0359244207626	NA	60.7088080401103	67.0319633961453	130.153759072669	85.0039874270148	89.5918316641865	52.2728466111687	86.335580149185	125.413246050587	110.316518166523	64.4287274096192	95.0928854655027
MTB000005	81	3	0	0	3	0	6	1	0	2	0	2	0	1	1	1	3	3.61383485995919	0	0	2.54105666408844	NA	3.71259721864585	1.10861155395442	0	1.15518865103226	0	1.40982796178271	0	0.923782598774946	1.13761405807163	0.548296733319305	3.52195872094454
MTB000006	73	263	337	317	337	0	387	340	275	587	497	455	381	546	465	723	459	351.532073158496	402.320985233368	524.36168180782	316.727049130695	NA	265.704988613907	418.235098574037	255.968185525167	376.203799935829	492.127485045789	355.884996791107	390.154323190044	559.660400183846	586.962102702299	439.861665662719	597.912800392681
MTB000007	74	147	188	191	191	0	241	195	224	368	281	272	232	289	294	441	262	193.828521069973	221.407217954236	311.670855548062	177.08417860411	NA	163.228852038706	236.628641820406	205.680185243614	232.661238580876	274.485048146834	209.873849013491	234.363822712158	292.227389928685	366.096502417807	264.671724471607	336.680216107591
MTB000008	73	3502	3589	2786	3708	0	4452	3524	4419	7022	4797	4977	4184	4747	3649	6857	3695	4680.85673080248	4284.65880119454	4608.42790383781	3484.93738331341	NA	3056.63723335689	4334.88378639678	4113.17604303896	4500.34596788652	4749.97091703149	3892.83434951504	4284.52936542557	4865.765420646	4606.07465109826	4171.68940726039	4813.26317527442
MTB000009	72	3	2	3	3	0	4	4	4	5	5	2	7	4	6	6	3	4.06556421745409	2.42082360056346	5.03133580073224	2.8586887470995	NA	2.78444791398439	4.98875199279488	3.77488435218934	3.24896808102824	5.01974435618469	1.58605645700555	7.26774785469935	4.15702169448726	7.67889489198348	3.70100294990531	3.96220356106261
MTB000010	73	1	1	2	0	0	0	2	0	0	2	1	1	1	0	4	4	1.33662385231367	1.19383081671623	3.30827559500202	0	NA	0	2.46020646220021	0	0	1.98039229394684	0.782164828112324	1.02402709498699	1.02501904795576	0	2.43353618623911	5.21056906660289
MTB000011	74	19	74	55	75	0	88	82	29	74	99	78	65	70	96	114	45	25.052665988636	87.1496496202845	89.7481521211697	69.5356722267446	NA	59.6022364290712	99.5053775860168	26.6282382681464	46.7851403668066	96.7046966780662	60.184412584751	65.6622779150443	70.7817207439722	119.541715075202	68.4185410198712	57.8267546749678
MTB000012	74	23	24	13	26	0	20	19	33	10	4	21	7	12	18	28	9	30.3269114599278	28.2647512282004	21.2131995922765	24.1056997052715	NA	13.5459628247889	23.0561240748088	30.3010987189252	6.32231626578468	3.90726047184106	16.2034956958945	7.07132223700477	12.1340092703952	22.4140715766004	16.8045539347052	11.5653509349936
MTB000013	74	106	137	111	136	0	118	118	147	190	155	140	111	167	128	263	156	139.767504989232	161.344621594311	181.128088826361	126.091352304497	NA	79.9211806662545	143.190665306707	134.977621566121	120.124009049909	151.406343283841	108.023304639297	112.130966901076	168.864962346334	159.388953433603	157.842774458124	200.466082873222
MTB000014	73	200	279	211	283	0	338	276	254	517	314	417	366	426	358	527	268	267.324770462735	333.078797863827	349.023075272713	265.975533839723	NA	232.062754913438	339.50849178363	236.421524085064	331.341336570398	310.921590149654	326.162733322839	374.793916765239	436.658114429155	451.897704876179	320.618392537003	349.108127462393
MTB000015	73	45	43	27	44	0	54	63	61	109	64	78	53	77	60	103	49	60.1480733541153	51.3347251187977	44.6617205325273	41.3530865333845	NA	37.0751146903126	77.4965035593068	56.7783975164917	69.857264383314	63.3725534062988	61.0088565927613	54.2734360343106	78.9264666925937	75.7370455099741	62.6635567956571	63.8294710658854
MTB000016	72	1	3	1	0	0	5	2	0	3	1	3	0	4	0	2	1	1.3551880724847	3.63123540084519	1.67711193357741	0	NA	3.48055989248048	2.49437599639744	0	1.94938084861694	1.00394887123694	2.37908468550832	0	4.15702169448726	0	1.23366764996844	1.3207345203542
MTB000017	74	9	9	13	10	0	20	6	10	18	8	17	15	21	24	27	12	11.8670523104065	10.5992817105751	21.2131995922765	9.27142296356594	NA	13.5459628247889	7.28088128678172	9.18215112694704	11.3801692784124	7.81452094368212	13.1171155633432	15.1528333650102	21.2345162231917	29.8854287688006	16.20439129418	15.4204679133248
MTB000018	73	11	22	31	30	0	32	23	35	51	43	32	22	40	37	54	27	14.7028623754504	26.264277967757	51.2782717225313	28.1952862727622	NA	21.9704383350001	28.2923743153025	32.5777690668395	32.6855090233854	42.578434319857	25.0292744995944	22.5285960897138	41.0007619182305	46.7045113978174	32.852738514228	35.1713411995695
MTB000019	1537	58641	72918	69336	3010490	0	2077709	241189	97465	68472	48440	48573	98900	161912	27310	698738	43819	3722.71309734379	4134.53360508257	5447.27701880917	134382.10362403	NA	67752.052593688	14091.2022635157	4308.74681909591	2084.23691034221	2278.10826235241	1804.4389917376	4810.12909412985	7882.4271559927	1637.29826545272	20190.2256281921	2711.0443384599
MTB000020	3138	128878	159588	114440	4673845	0	11984048	334248	178918	153889	92986	125203	154068	205857	65017	2174672	87784	4007.35590988182	4432.13457093753	4403.71754520686	102187.901393402	NA	191408.933774505	9564.89699476694	3874.15731467502	2294.36534923757	2141.9469921416	2278.15326867838	3670.23450361481	4908.7113668952	1909.21112501755	30778.0783444607	2660.17650022425
MTB000021	115	397	827	525	1104	0	2099	507	506	734	525	918	676	836	1031	1763	851	336.840833599153	626.719654225872	551.25940077588	658.641887331725	NA	914.800096401374	395.890005967357	298.970840693395	298.611243732487	329.993628980489	455.791250357559	439.42338333407	543.955325727341	826.115544379301	680.855812245189	703.68735244472
MTB000022	84	24	18	12	24	0	23	29	18	46	30	26	32	23	20	57	29	27.8781546339709	18.6749249186324	17.2502941739391	19.602437122968	NA	13.7233504332088	31.0015302409396	14.5602682155874	25.6204340103941	25.8158281175213	17.6732005209189	28.4777058796383	20.4881783514015	21.9396996913814	30.1367383063718	32.8296866488045
MTB000023	74	1	5	9	3	0	3	3	6	5	3	5	3	4	7	7	3	1.31856136782295	5.88848983920842	14.6860612561914	2.78142688906978	NA	2.03189442371834	3.64044064339086	5.50929067616822	3.16115813289234	2.93044535388079	3.85797516568917	3.03056667300204	4.04466975679841	8.71658339090017	4.2011384836763	3.85511697833119
MTB000024	74	21	29	29	32	0	40	28	38	49	42	29	27	44	43	61	36	27.6897887242819	34.1532410674088	47.3217529366167	29.668553483411	NA	27.0919256495778	33.9774460049814	34.8921742823987	30.9793497023449	41.0262349543311	22.3762559609972	27.2751000570184	44.4913673247825	53.5447265441011	36.6099210720363	46.2614037399743
